compound,Gh,Hh,Cph,V,Hig,Sig,Cpig
Propane,16.09,,,,-104.7,270.31,76.3
n-Butane,16.58,,,,-125.6,309.91,98.5
n-Pentane,17.36,,,,-146.75,349.56,120
n-Pentane,17.27,,,,,,
n-Pentane,17.6,,,,,,
n-Pentane,18.44,,,,,,
n-Pentane,17.67,,,,,,
n-Pentane,17.6,,,,,,
n-Pentane,17.6,,,,,,
n-Pentane,17.76,,,,,,
n-Pentane,17.29,,,,,,
n-Pentane,15.16,,,,,,
n-Pentane,19.65,,,,,,
n-Pentane,17.7,,,,,,
n-Pentane,17.84,,,,,,
n-Pentane,17.18,,,,,,
n-Pentane,14.67,,,,,,
n-Hexane,18.61,,,,-166.97,388.85,142.6
n-Hexane,17.88,,,,,,
n-Hexane,18.3,,,,,,
n-Hexane,16.47,,,,,,
n-Hexane,18.07,,,,,,
n-Hexane,19,,,,,,
n-Hexane,18.48,,,,,,
n-Hexane,17.91,,,,,,
n-Hexane,16.12,,,,,,
n-Hexane,18.46,,,,,,
n-Hexane,17.91,,,,,,
n-Hexane,11.58,,,,,,
n-Hexane,18.59,,,,,,
n-Hexane,17.92,,,,,,
n-Hexane,17.94,,,,,,
n-Hexane,17.66,,,,,,
n-Hexane,16.95,,,,,,
n-Hexane,18.59,,,,,,
n-Hexane,17.23,,,,,,
n-Hexane,12.3,,,,,,
n-Hexane,15.26,,,,,,
n-Hexane,11.95,,,,,,
n-Heptane,19.65,,,,-187.54,428.1,165.2
n-Heptane,18.62,,,,,,
n-Heptane,18.99,,,,,,
n-Heptane,19.45,,,,,,
n-Heptane,18.47,,,,,,
n-Heptane,19.32,,,,,,
n-Heptane,18.93,,,,,,
n-Heptane,18.39,,,,,,
n-Heptane,19.63,,,,,,
n-Heptane,17.97,,,,,,
n-Heptane,19.08,,,,,,
n-Heptane,19.14,,,,,,
n-Heptane,19.21,,,,,,
n-Heptane,18.97,,,,,,
n-Heptane,15.92,,,,,,
n-Heptane,11.93,,,,,,
n-Octane,20.04,,,,-208.57,467.35,187.8
n-Octane,20.91,,,,,,
n-Octane,19.84,,,,,,
n-Octane,14.46,,,,,,
n-Octane,19.6,,,,,,
n-Octane,19.21,,,,,,
n-Octane,11.52,,,,,,
n-Octane,19.2,,,,,,
n-Octane,19.85,,,,,,
n-Octane,18.76,,,,,,
n-Octane,20.16,,,,,,
n-Octane,21.1,,,,,,
n-Octane,18.44,,,,,,
n-Octane,19.41,,,,,,
n-Octane,19.91,,,,,,
n-Octane,19.3,,,,,,
n-Octane,20.03,,,,,,
n-Octane,11.52,,,,,,
n-Nonane,20.78,,,,-228.27,506.54,210.4
n-Nonane,21.16,,,,,,
n-Nonane,14.94,,,,,,
n-Nonane,20.99,,,,,,
n-Nonane,21.61,,,,,,
n-Nonane,22.93,,,,,,
n-Nonane,20.14,,,,,,
n-Decane,21.42,,,,-249.51,545.79,233
n-Decane,21.26,,,,,,
n-Decane,25.55,,,,,,
n-Decane,21.12,,,,,,
n-Decane,23.49,,,,,,
n-Decane,24.09,,,,,,
n-Undecane,22.82,,,,-270.77,,256.4
n-Undecane,25.11,,,,,,
n-Undecane,24.62,,,,,,
n-Dodecane,25.65,,,,-289.39,,279.2
n-Dodecane,22.56,,,,,,
n-Dodecane,24.11,,,,,,
n-Dodecane,22.39,,,,,,
n-Dodecane,20.4,,,,,,
n-Tridecane,25.28,,,,,,301.9
n-Tetradecane,23.17,,,,,,324.8
2-Methylpropane,17.32,,,,-134.2,295.5,96.7
"2,2-Dimethylpropane",18.4,,,,-168.1,306,120.8
2-Methylbutane,17.6,,,,-153.28,343.74,118.9
2-Methylbutane,17.89,,,,,,
2-Methylbutane,18.03,,,,,,
2-Methylbutane,17.95,,,,,,
2-Methylbutane,17.93,,,,,,
2-Methylbutane,18.04,,,,,,
"2,2-Dimethylbutane",18.54,,,,-185.87,358.4,141.5
"2,2-Dimethylbutane",18.26,,,,,,
"2,2-Dimethylbutane",18.89,,,,,,
"2,3-Dimethylbutane",18.03,,,,-178.07,365.93,139.4
"2,3-Dimethylbutane",17.62,,,,,,
2-Methylpentane,16.65,,,,-174.5,380.98,142.2
2-Methylpentane,18.74,,,,,,
2-Methylpentane,18.26,,,,,,
2-Methylpentane,18.5,,,,,,
2-Methylpentane,18.58,,,,,,
3-Methylpentane,18.41,,,,-171.93,383,142
3-Methylpentane,18.43,,,,,,
3-Methylpentane,17.66,,,,,,
3-Methylpentane,18.48,,,,,,
"2,2-Dimethylpentane",20.04,,,,-205.74,392.7,166.7
"2,3-Dimethylpentane",18.53,,,,-198.74,414.68,160.8
"2,4-Dimethylpentane",21.32,,,,-201.58,397.02,171.7
"2,4-Dimethylpentane",19.87,,,,,,
"2,4-Dimethylpentane",19.32,,,,,,
"2,4-Dimethylpentane",20.07,,,,,,
2-Methylhexane,15.3,,,,-194.52,420.5,164.5
2-Methylhexane,20.23,,,,,,
"3,3-Dimethylpentane",18.71,,,,-201.05,398.3,165.8
3-Methylhexane,19.95,,,,-191.24,426.1,163.9
3-Methylhexane,19.97,,,,,,
3-Methylhexane,18.41,,,,,,
"2,2,4-Trimethylpentane",19.71,,,,-223.96,423.09,188.4
"2,2,4-Trimethylpentane",20.09,,,,,,
"2,2,4-Trimethylpentane",20.02,,,,,,
"2,2,4-Trimethylpentane",21.8,,,,,,
"2,2,4-Trimethylpentane",21.14,,,,,,
"2,2,4-Trimethylpentane",20.35,,,,,,
"2,2,4-Trimethylpentane",21.35,,,,,,
"2,2,4-Trimethylpentane",19.9,,,,,,
"2,3,4-Trimethylpentane",19.95,,,,-217.18,428.53,191.6
"2,3,4-Trimethylpentane",19.88,,,,,,
"2,3,4-Trimethylpentane",18.58,,,,,,
3-Methylheptane,20.42,,,,-212.42,465.6,185.8
"2,2,5-Trimethylhexane",21.26,,,,-253.09,461.8,207.9
"2,2,5-Trimethylhexane",19.37,,,,,,
4-Methyloctane,22.87,,,,,502.8,209.3
Propene,12.92,,,,20,266.73,64.4
Propene,13.08,,,,,,
Propene,13.15,,,,,,
Propene,13.26,,,,,,
Propene,12.94,,,,,,
"1,3-Butadiene",10.64,,,,110,278.78,79.83
"1,3-Butadiene",11.49,,,,,,
"1,3-Butadiene",10.62,,,,,,
"1,3-Butadiene",10.77,,,,,,
"1,3-Butadiene",10.57,,,,,,
"1,3-Butadiene",10.36,,,,,,
1-Butene,13.4,,,,0.1,307.86,85.7
1-Butene,13.31,,,,,,
1-Butene,13.37,,,,,,
1-Butene,12.69,,,,,,
1-Butene,13.68,,,,,,
1-Butene,13.41,,,,,,
1-Butene,13.39,,,,,,
2-Methyl-1-propene,12.82,,,,-16.9,293.2,88.2
2-Methyl-1-propene,12.81,,,,,,
2-Methyl-1-propene,13.25,,,,,,
2-Methyl-1-propene,12.94,,,,,,
2-Methyl-1-propene,13.04,,,,,,
2-Methyl-1-propene,13.26,,,,,,
2-Methyl-1-propene,12.87,,,,,,
2-Methyl-1-propene,13.04,,,,,,
"1,4-Pentadiene",11.79,,,,105.7,333.99,98.4
"2-Methyl-1,3-butadiene",9.4,,,,74.5,314.67,102.6
"2-Methyl-1,3-butadiene",10.81,,,,,,
"2-Methyl-1,3-butadiene",10.73,,,,,,
"2-Methyl-1,3-butadiene",10.7,,,,,,
"2-Methyl-1,3-butadiene",10.98,,,,,,
"2-Methyl-1,3-butadiene",10.97,,,,,,
"2-Methyl-1,3-butadiene",10.71,,,,,,
"2-Methyl-1,3-butadiene",10.38,,,,,,
1-Pentene,14.77,,,,-17.08,347.34,108.43
2-Methyl-2-butene,12.25,,,,-41.26,338.44,105
2-Methyl-2-butene,13.03,,,,,,
2-Methyl-2-butene,12.74,,,,,,
2-Methyl-2-butene,12.82,,,,,,
2-Pentene,13.44,,,,-31.3,343.51,
3-Methyl-1-butene,15.53,,,,-27.6,335.45,114.7
"1,5-Hexadiene",12.32,,,,83.4,,
4-Methyl-1-pentene,15.93,,,,-51.29,,126.6
2-Methyl-1-pentene,14.01,,,,-59.5,,135.6
1-Hexene,14.71,,,,-43.59,386.49,131.1
1-Hexene,15.14,,,,,,
1-Hexene,14.53,,,,,,
1-Hexene,14.08,,,,,,
1-Hexene,15.59,,,,,,
1-Hexene,14.65,,,,,,
1-Hexene,14.89,,,,,,
1-Hexene,14.91,,,,,,
"1,6-Heptadiene",13.15,,,,,,
1-Heptene,14.92,,,,-62.41,425.15,153.9
1-Heptene,14.87,,,,,,
1-Heptene,11.78,,,,,,
2-Heptene,14.61,,,,-73.8,,
2-Heptene,14.24,,,,,,
2-Heptene,14.9,,,,,,
1-Octene,16.88,,,,-81.36,464.47,176.6
1-Octene,15.02,,,,,,
1-Octene,16,,,,,,
1-Octene,11.78,,,,,,
1-Octene,17.03,,,,,,
1-Nonene,15.07,,,,,503.05,199.3
1-Nonene,16.61,,,,,,
Propyne,5.93,,,,184.9,248.47,60.7
Propyne,6.54,,,,,,
Propyne,6.46,,,,,,
1-Butyne,7.24,,,,165.2,,81.4
1-Butyne,6.79,,,,,,
1-Pentyne,8.93,,,,,,106.6
1-Pentyne,7.94,,,,,,
1-Hexyne,7.48,,,,,,129.2
1-Hexyne,9.07,,,,,,
3-Hexyne,6.96,,,,,,
"1,6-Heptadiyne",0.37,,,,,,
1-Heptyne,10,,,,,,
2-Heptyne,7.19,,,,,,
2-Methyl-3-hexyne,9.04,,,,,,
1-Octyne,10.83,,,,,,174.6
"2,2-Dimethyl-3-hexyne",10.72,,,,,,
"1,8-Nonadiyne",6.95,,,,,,
1-Nonyne,11.23,,,,63.01,,197.3
"2,2,5-Trimethyl-3-hexyne",12.44,,,,,,
"2,2,5,5-Tetramethyl-3-hexyne",13.59,,,,,,
Benzene,4.25,,,,82.92,269.64,82.1
Benzene,4.26,,,,,,
Benzene,3.62,,,,,,
Benzene,4.24,,,,,,
Benzene,4.07,,,,,,
Benzene,4.39,,,,,,
Benzene,4.29,,,,,,
Benzene,4.25,,,,,,
Benzene,4.27,,,,,,
Benzene,4.36,,,,,,
Benzene,4.51,,,,,,
Benzene,4.27,,,,,,
Benzene,4.35,,,,,,
Benzene,4.28,,,,,,
Benzene,4.16,,,,,,
Benzene,4.54,,,,,,
Benzene,4.59,,,,,,
Benzene,4.24,,,,,,
Benzene,3.86,,,,,,
Benzene,4.49,,,,,,
Benzene,4.14,,,,,,
Benzene,4.3,,,,,,
Benzene,4.18,,,,,,
Benzene,4.15,,,,,,
Benzene,4.46,,,,,,
Benzene,4.28,,,,,,
Benzene,4.33,,,,,,
Benzene,4.41,,,,,,
Benzene,4.27,,,,,,
Benzene,4.31,,,,,,
Benzene,4.38,,,,,,
Benzene,3.44,,,,,,
Benzene,4.34,,,,,,
Benzene,3.84,,,,,,
Benzene,4.35,,,,,,
Benzene,4.04,,,,,,
Benzene,4.45,,,,,,
Benzene,4.21,,,,,,
Benzene,4.2,,,,,,
Benzene,4.76,,,,,,
Benzene,4.48,,,,,,
Benzene,4.28,,,,,,
Benzene,4.28,,,,,,
Benzene,4.2,,,,,,
Benzene,4.1,,,,,,
Benzene,4.08,,,,,,
Benzene,4.16,,,,,,
Benzene,4.26,,,,,,
Benzene,4.21,,,,,,
Benzene,4.24,,,,,,
Benzene,4.22,,,,,,
Benzene,4.21,,,,,,
Benzene,4.28,,,,,,
Benzene,6.06,,,,,,
Benzene,3.98,,,,,,
Benzene,4.28,,,,,,
Benzene,4.18,,,,,,
Benzene,4.23,,,,,,
Benzene,5.66,,,,,,
Benzene,4.01,,,,,,
Benzene,4.7,,,,,,
Benzene,4.26,,,,,,
Benzene,4.24,,,,,,
Benzene,4.15,,,,,,
Benzene,3.83,,,,,,
Benzene,4.34,,,,,,
Benzene,5.48,,,,,,
Benzene,3.73,,,,,,
Benzene,4.31,,,,,,
Benzene,4.23,,,,,,
Benzene,4.3,,,,,,
Benzene,4.19,,,,,,
Benzene,4.29,,,,,,
Benzene,4.28,,,,,,
Benzene,4.19,,,,,,
Benzene,4.31,,,,,,
Benzene,4.23,,,,,,
Benzene,4.17,,,,,,
Benzene,4.65,,,,,,
Benzene,4.21,,,,,,
Benzene,4.1,,,,,,
Benzene,4.28,,,,,,
Benzene,4.12,,,,,,
Benzene,4.13,,,,,,
Methylbenzene,5.2,,,,50.46,321.44,103.6
Methylbenzene,4.38,,,,,,
Methylbenzene,4.62,,,,,,
Methylbenzene,4.53,,,,,,
Methylbenzene,4.53,,,,,,
Methylbenzene,4.39,,,,,,
Methylbenzene,5.6,,,,,,
Methylbenzene,4.8,,,,,,
Methylbenzene,4.58,,,,,,
Methylbenzene,4.48,,,,,,
Methylbenzene,4.59,,,,,,
Methylbenzene,4.69,,,,,,
Methylbenzene,4.8,,,,,,
Methylbenzene,5.07,,,,,,
Methylbenzene,4.45,,,,,,
Methylbenzene,4.97,,,,,,
Methylbenzene,4.73,,,,,,
Methylbenzene,4.24,,,,,,
Methylbenzene,4.72,,,,,,
Methylbenzene,4.98,,,,,,
Methylbenzene,4.42,,,,,,
Methylbenzene,4.62,,,,,,
Methylbenzene,4.64,,,,,,
Methylbenzene,4.55,,,,,,
Methylbenzene,4.54,,,,,,
Methylbenzene,5.1,,,,,,
Methylbenzene,3.64,,,,,,
Methylbenzene,4.61,,,,,,
Methylbenzene,4.93,,,,,,
Methylbenzene,4.11,,,,,,
Methylbenzene,2.95,,,,,,
Methylbenzene,4.43,,,,,,
Methylbenzene,4.61,,,,,,
Methylbenzene,4.33,,,,,,
Methylbenzene,4.7,,,,,,
Methylbenzene,4.25,,,,,,
Methylbenzene,4.36,,,,,,
Methylbenzene,4.7,,,,,,
Methylbenzene,4.99,,,,,,
Methylbenzene,4.68,,,,,,
Methylbenzene,4.31,,,,,,
Methylbenzene,3.27,,,,,,
Methylbenzene,4.43,,,,,,
Methylbenzene,4.73,,,,,,
Methylbenzene,4.47,,,,,,
Methylbenzene,4.53,,,,,,
Methylbenzene,4.77,,,,,,
Methylbenzene,3.7,,,,,,
Methylbenzene,4.24,,,,,,
Methylbenzene,4.28,,,,,,
Methylbenzene,2,,,,,,
Methylbenzene,4.72,,,,,,
Methylbenzene,4.55,,,,,,
Methylbenzene,4.13,,,,,,
Methylbenzene,4.55,,,,,,
Methylbenzene,4.64,,,,,,
Methylbenzene,4.86,,,,,,
Methylbenzene,4.7,,,,,,
Methylbenzene,6.77,,,,,,
Methylbenzene,4.23,,,,,,
Methylbenzene,4.98,,,,,,
Methylbenzene,4.47,,,,,,
Methylbenzene,4.57,,,,,,
Methylbenzene,4.23,,,,,,
Methylbenzene,4.72,,,,,,
Methylbenzene,4.34,,,,,,
Methylbenzene,5,,,,,,
Methylbenzene,4.4,,,,,,
Methylbenzene,4.73,,,,,,
Methylbenzene,4.63,,,,,,
Methylbenzene,4.24,,,,,,
Methylbenzene,4.79,,,,,,
Methylbenzene,4.66,,,,,,
Methylbenzene,4.82,,,,,,
Methylbenzene,4.02,,,,,,
"1,2-Dimethylbenzene",3.44,,,,19.1,351.95,132.7
"1,2-Dimethylbenzene",4.15,,,,,,
"1,2-Dimethylbenzene",3.81,,,,,,
"1,2-Dimethylbenzene",3.7,,,,,,
"1,2-Dimethylbenzene",4.92,,,,,,
"1,2-Dimethylbenzene",3.6,,,,,,
"1,2-Dimethylbenzene",4.01,,,,,,
"1,2-Dimethylbenzene",4.16,,,,,,
"1,2-Dimethylbenzene",3.64,,,,,,
"1,2-Dimethylbenzene",3.92,,,,,,
"1,2-Dimethylbenzene",3.92,,,,,,
"1,2-Dimethylbenzene",4.19,,,,,,
"1,2-Dimethylbenzene",3.65,,,,,,
"1,2-Dimethylbenzene",4.2,,,,,,
"1,2-Dimethylbenzene",4.36,,,,,,
"1,2-Dimethylbenzene",4.36,,,,,,
"1,2-Dimethylbenzene",4.3,,,,,,
"1,2-Dimethylbenzene",3.62,,,,,,
"1,2-Dimethylbenzene",2.96,,,,,,
"1,2-Dimethylbenzene",4.23,,,,,,
"1,2-Dimethylbenzene",4.24,,,,,,
"1,2-Dimethylbenzene",3.86,,,,,,
"1,3-Dimethylbenzene",5.33,,,,17.34,357.86,125.8
"1,3-Dimethylbenzene",4.7,,,,,,
"1,3-Dimethylbenzene",4.72,,,,,,
"1,3-Dimethylbenzene",4.68,,,,,,
"1,3-Dimethylbenzene",4.51,,,,,,
"1,3-Dimethylbenzene",4.86,,,,,,
"1,3-Dimethylbenzene",4.63,,,,,,
"1,3-Dimethylbenzene",5.03,,,,,,
"1,3-Dimethylbenzene",4.76,,,,,,
"1,3-Dimethylbenzene",4.94,,,,,,
"1,3-Dimethylbenzene",4.97,,,,,,
"1,3-Dimethylbenzene",5.19,,,,,,
"1,3-Dimethylbenzene",4.88,,,,,,
"1,3-Dimethylbenzene",4.98,,,,,,
"1,3-Dimethylbenzene",5.32,,,,,,
"1,3-Dimethylbenzene",5.32,,,,,,
"1,3-Dimethylbenzene",4.66,,,,,,
"1,3-Dimethylbenzene",5.1,,,,,,
"1,3-Dimethylbenzene",4.25,,,,,,
"1,3-Dimethylbenzene",4.84,,,,,,
"1,3-Dimethylbenzene",4.92,,,,,,
"1,3-Dimethylbenzene",4.91,,,,,,
"1,3-Dimethylbenzene",4.37,,,,,,
"1,3-Dimethylbenzene",4.69,,,,,,
"1,4-Dimethylbenzene",4.7,,,,17.97,352.2,126
"1,4-Dimethylbenzene",4.98,,,,,,
"1,4-Dimethylbenzene",4.75,,,,,,
"1,4-Dimethylbenzene",5.57,,,,,,
"1,4-Dimethylbenzene",4.95,,,,,,
"1,4-Dimethylbenzene",4.34,,,,,,
"1,4-Dimethylbenzene",4.49,,,,,,
"1,4-Dimethylbenzene",4.83,,,,,,
"1,4-Dimethylbenzene",5.15,,,,,,
"1,4-Dimethylbenzene",5.04,,,,,,
"1,4-Dimethylbenzene",4.88,,,,,,
"1,4-Dimethylbenzene",5.25,,,,,,
"1,4-Dimethylbenzene",2.92,,,,,,
"1,4-Dimethylbenzene",4.97,,,,,,
"1,4-Dimethylbenzene",5.07,,,,,,
"1,4-Dimethylbenzene",4.33,,,,,,
"1,4-Dimethylbenzene",5.09,,,,,,
"1,4-Dimethylbenzene",5.11,,,,,,
"1,4-Dimethylbenzene",5.11,,,,,,
"1,4-Dimethylbenzene",5.13,,,,,,
"1,4-Dimethylbenzene",4.7,,,,,,
"1,4-Dimethylbenzene",5.02,,,,,,
"1,4-Dimethylbenzene",3.59,,,,,,
"1,4-Dimethylbenzene",4.96,,,,,,
"1,4-Dimethylbenzene",4.49,,,,,,
"1,4-Dimethylbenzene",4.52,,,,,,
Ethylbenzene,5.13,,,,29.89,360.6,127.6
Ethylbenzene,5.12,,,,,,
Ethylbenzene,4.81,,,,,,
Ethylbenzene,5.19,,,,,,
Ethylbenzene,5.43,,,,,,
Ethylbenzene,4.71,,,,,,
Ethylbenzene,5.12,,,,,,
Ethylbenzene,5.33,,,,,,
Ethylbenzene,5.08,,,,,,
Ethylbenzene,5.1,,,,,,
Ethylbenzene,4.99,,,,,,
Ethylbenzene,5.04,,,,,,
Ethylbenzene,5.04,,,,,,
Ethylbenzene,5.47,,,,,,
Ethylbenzene,4.39,,,,,,
Ethylbenzene,5.12,,,,,,
"1,3,5-Trimethylbenzene",4.39,,,,-15.89,385.72,147.9
"1,3,5-Trimethylbenzene",4.61,,,,,,
"1,3,5-Trimethylbenzene",4.81,,,,,,
"1,3,5-Trimethylbenzene",5.04,,,,,,
"1,3,5-Trimethylbenzene",4.73,,,,,,
"1,3,5-Trimethylbenzene",5.2,,,,,,
"1,3,5-Trimethylbenzene",5.53,,,,,,
"1,3,5-Trimethylbenzene",5.22,,,,,,
"1,3,5-Trimethylbenzene",4.83,,,,,,
"1,3,5-Trimethylbenzene",5.81,,,,,,
"1,3,5-Trimethylbenzene",3.49,,,,,,
1-Ethyl-2-methylbenzene,4.25,,,,0.54,,155.9
"1,2,3-Trimethylbenzene",3.31,,,,-9.44,384.73,154.8
"1,2,3-Trimethylbenzene",3.35,,,,,,
"1,2,3-Trimethylbenzene",2.97,,,,,,
"1,2,4-Trimethylbenzene",4.59,,,,-13.86,395.31,150.1
"1,2,4-Trimethylbenzene",4.42,,,,,,
"1,2,4-Trimethylbenzene",4.63,,,,,,
"1,2,4-Trimethylbenzene",4.63,,,,,,
"1,2,4-Trimethylbenzene",4.31,,,,,,
cumene,6.04,,,,4.05,386.11,159.3
cumene,5.97,,,,,,
cumene,5.95,,,,,,
cumene,4.26,,,,,,
cumene,6.19,,,,,,
cumene,6.79,,,,,,
cumene,6.79,,,,,,
cumene,6.04,,,,,,
cumene,6.69,,,,,,
cumene,6.7,,,,,,
cumene,5.53,,,,,,
cumene,4.52,,,,,,
n-Propylbenzene,5.72,,,,7.94,,152.9
n-Propylbenzene,6.04,,,,,,
n-Propylbenzene,6.1,,,,,,
n-Propylbenzene,6.08,,,,,,
n-Propylbenzene,6.01,,,,,,
n-Propylbenzene,5.95,,,,,,
n-Propylbenzene,4.66,,,,,,
n-Propylbenzene,5.9,,,,,,
n-Propylbenzene,5.62,,,,,,
n-Propylbenzene,5.95,,,,,,
n-Propylbenzene,5.79,,,,,,
n-Propylbenzene,6.19,,,,,,
n-Propylbenzene,5.84,,,,,,
n-Propylbenzene,6.1,,,,,,
n-Propylbenzene,5.93,,,,,,
n-Propylbenzene,5.86,,,,,,
n-Propylbenzene,5.49,,,,,,
n-Propylbenzene,3.78,,,,,,
n-Propylbenzene,5.71,,,,,,
n-Propylbenzene,4.24,,,,,,
"1,1-Dimethylethylbenzene",6.41,,,,-22.51,,
"1,1-Dimethylethylbenzene",6.06,,,,,,
"1,2,4,5-Tetramethylbenzene",5.07,,,,-46.69,,189.5
"1,2,4,5-Tetramethylbenzene",5.07,,,,,,
1-Methyl-2-(1-methylethyl)benzene,4.16,,,,-24.36,,
1-Methyl-3-(1-methylethyl)benzene,4.8,,,,-30.14,,
1-Methyl-4-(1-methylethyl)benzene,6.17,,,,-29.51,,
1-Methyl-4-(1-methylethyl)benzene,4.15,,,,,,
1-Methyl-4-(1-methylethyl)benzene,7.16,,,,,,
1-Methyl-4-(1-methylethyl)benzene,6.07,,,,,,
sec-Butylbenzene,7.29,,,,-17.93,,
sec-Butylbenzene,5.89,,,,,,
2-Methylpropylbenzene,8.77,,,,-21.76,,
2-Methylpropylbenzene,8.77,,,,,,
n-Butylbenzene,6.83,,,,-12.35,,174.3
n-Butylbenzene,6.46,,,,,,
n-Butylbenzene,5.65,,,,,,
n-Butylbenzene,6.98,,,,,,
n-Butylbenzene,6.66,,,,,,
n-Butylbenzene,6.51,,,,,,
n-Butylbenzene,5.1,,,,,,
n-Butylbenzene,7.08,,,,,,
n-Butylbenzene,6.53,,,,,,
n-Butylbenzene,7.12,,,,,,
n-Butylbenzene,6.53,,,,,,
n-Butylbenzene,6.92,,,,,,
n-Butylbenzene,5.92,,,,,,
n-Butylbenzene,3.35,,,,,,
n-Butylbenzene,6.77,,,,,,
n-Butylbenzene,3.45,,,,,,
n-Pentylbenzene,6.91,,,,-34.17,,
n-Pentylbenzene,7.54,,,,,,
n-Pentylbenzene,7.22,,,,,,
"1,3,5-Triethylbenzene",6.32,,,,,,224.4
n-Hexylbenzene,8.15,,,,,,
n-Hexylbenzene,7.91,,,,,,
n-Hexylbenzene,7.85,,,,,,
n-Decylbenzene,12.51,,,,,,
Cyclopropane,11.09,,,,53.3,237.38,55.5
Cyclopropane,11.18,,,,,,
Cyclopropane,11.07,,,,,,
Cyclopropane,11.07,,,,,,
Cyclopropane,10.82,,,,,,
Cyclopropane,11.02,,,,,,
Cyclopropane,11.23,,,,,,
Cyclopropane,11.23,,,,,,
Cyclopropane,11.19,,,,,,
Cyclopentane,12.81,,,,-76.38,292.86,82.8
Cyclopentane,12.6,,,,,,
Cyclopentane,13.01,,,,,,
Cyclopentane,12.84,,,,,,
Cyclopentane,12.9,,,,,,
Cyclopentane,11.02,,,,,,
Cyclopentane,12.97,,,,,,
Cyclohexane,12.9,,,,-123.28,297.39,106.3
Cyclohexane,12.77,,,,,,
Cyclohexane,13.17,,,,,,
