compound,Gh,Hh,Cph,V,Hig,Sig,Cpig
Cyclohexane,13.11,,,,,,
Cyclohexane,12.9,,,,,,
Cyclohexane,12.95,,,,,,
Cyclohexane,12.83,,,,,,
Cyclohexane,13.2,,,,,,
Cyclohexane,12.98,,,,,,
Cyclohexane,13.24,,,,,,
Cyclohexane,13.11,,,,,,
Cyclohexane,11.32,,,,,,
Cyclohexane,12.63,,,,,,
Cyclohexane,12.96,,,,,,
Cyclohexane,13.02,,,,,,
Cyclohexane,11.79,,,,,,
Cyclohexane,13.07,,,,,,
Cyclohexane,13.1,,,,,,
Cyclohexane,12.17,,,,,,
Cyclohexane,12.77,,,,,,
Methylcyclopentane,14.49,,,,-106.12,339.9,109.8
Methylcyclopentane,14.62,,,,,,
Methylcyclopentane,14.61,,,,,,
Cycloheptane,11.52,,,,-118,342.33,132.2
Cycloheptane,11.27,,,,,,
Methylcyclohexane,10.5,,,,-154.66,343.4,136
Methylcyclohexane,15.12,,,,,,
Methylcyclohexane,11.7,,,,,,
Methylcyclohexane,14.59,,,,,,
Methylcyclohexane,14.79,,,,,,
Methylcyclohexane,15.17,,,,,,
Methylcyclohexane,14.83,,,,,,
Methylcyclohexane,14.71,,,,,,
Methylcyclohexane,15.04,,,,,,
"1,1,3-Trimethylcyclopentane",18.27,,,,,,
Cyclooctane,11.52,,,,-124,366.73,147.1
Propylcyclopentane,16.97,,,,-147.68,,160.3
"1,1,3-Trimethylcyclohexane",17.14,,,,,,
Pentylcyclopentane,19.06,,,,,,
"1,3-Cyclopentadiene",6.89,,,,132.4,274.15,75.1
"1,3-Cyclopentadiene",9.95,,,,,,
Cyclopentene,9.35,,,,32.2,291.38,81.3
Cyclopentene,7.49,,,,,,
Cyclopentene,9.96,,,,,,
Cyclopentene,10.27,,,,,,
"1,4-Cyclohexadiene",4.98,,,,104.75,296.6,94.8
"1,4-Cyclohexadiene",5.7,,,,,,
Cyclohexene,8.4,,,,-4.93,310.63,101.5
Cyclohexene,9.53,,,,,,
Cyclohexene,8.91,,,,,,
Cyclohexene,9.77,,,,,,
Cyclohexene,8.63,,,,,,
Cyclohexene,8.95,,,,,,
Cyclohexene,9.47,,,,,,
Cyclohexene,10.19,,,,,,
Cyclohexene,10.48,,,,,,
Cyclohexene,10.66,,,,,,
"1,3,5-Cycloheptatriene",3.6,,,,180.8,316.36,106.3
"1,3,5-Cycloheptatriene",3.8,,,,,,
1-Methylcyclohexene,11.04,,,,-43.74,,
Cycloheptene,9.68,,,,-9.2,332.12,124.1
Methanol,-13.19,,,,-201.27,239.88,44.2
Methanol,-12.89,,,,,,
Methanol,-13.25,,,,,,
Methanol,-13.01,,,,,,
Methanol,-13.41,,,,,,
Methanol,-13.25,,,,,,
Methanol,-12.61,,,,,,
Methanol,-13.31,,,,,,
Methanol,-13.39,,,,,,
Methanol,-13.77,,,,,,
Methanol,-13.44,,,,,,
Methanol,-12.98,,,,,,
Methanol,-13.25,,,,,,
Methanol,-13.01,,,,,,
Methanol,-13.84,,,,,,
Methanol,-13.19,,,,,,
Methanol,-13.2,,,,,,
Methanol,-13.4,,,,,,
Methanol,-13.2,,,,,,
Methanol,-13.15,,,,,,
Methanol,-13.1,,,,,,
Methanol,-13.18,,,,,,
Methanol,-17.85,,,,,,
Methanol,-13.15,,,,,,
Methanol,-13.29,,,,,,
Methanol,-13.03,,,,,,
Methanol,-13.4,,,,,,
Methanol,-13.19,,,,,,
Methanol,-12.97,,,,,,
Methanol,-12.52,,,,,,
Methanol,-12.85,,,,,,
Methanol,-13.2,,,,,,
Methanol,-13.5,,,,,,
Methanol,-12.48,,,,,,
Methanol,-13.44,,,,,,
Methanol,-13.37,,,,,,
Ethanol,-13.07,,,,-235.14,280.64,65.4
Ethanol,-13.26,,,,,,
Ethanol,-12.76,,,,,,
Ethanol,-11.74,,,,,,
Ethanol,-12.16,,,,,,
Ethanol,-12.79,,,,,,
Ethanol,-13.03,,,,,,
Ethanol,-13.03,,,,,,
Ethanol,-12.58,,,,,,
Ethanol,-12.98,,,,,,
Ethanol,-12.14,,,,,,
Ethanol,-12.97,,,,,,
Ethanol,-12.2,,,,,,
Ethanol,-12.26,,,,,,
Ethanol,-13.01,,,,,,
Ethanol,-12.82,,,,,,
Ethanol,-12.99,,,,,,
Ethanol,-12.89,,,,,,
Ethanol,-13.14,,,,,,
Ethanol,-13.05,,,,,,
Ethanol,-13.14,,,,,,
Ethanol,-12.77,,,,,,
Ethanol,-12.87,,,,,,
Ethanol,-13.34,,,,,,
Ethanol,-13.23,,,,,,
Ethanol,-13.01,,,,,,
Ethanol,-12.95,,,,,,
Ethanol,-12.79,,,,,,
Ethanol,-12.9,,,,,,
Ethanol,-15.94,,,,,,
Ethanol,-12.89,,,,,,
Ethanol,-12.94,,,,,,
Ethanol,-12.7,,,,,,
Ethanol,-12.75,,,,,,
Ethanol,-12.67,,,,,,
Ethanol,-13,,,,,,
Ethanol,-12.92,,,,,,
Ethanol,-13.29,,,,,,
Ethanol,-13.46,,,,,,
Ethanol,-12.85,,,,,,
Ethanol,-12.38,,,,,,
Ethanol,-12.62,,,,,,
Ethanol,-13,,,,,,
Ethanol,-13.36,,,,,,
Ethanol,-13.06,,,,,,
Ethanol,-12.99,,,,,,
Ethanol,-12.96,,,,,,
Ethanol,-13.02,,,,,,
Ethanol,-13.19,,,,,,
n-Propanol,-12.43,,,,-255.1,322.58,85.6
n-Propanol,-10.8,,,,,,
n-Propanol,-12.73,,,,,,
n-Propanol,-12.32,,,,,,
n-Propanol,-12.52,,,,,,
n-Propanol,-12.42,,,,,,
n-Propanol,-12.12,,,,,,
n-Propanol,-13.88,,,,,,
n-Propanol,-12.36,,,,,,
n-Propanol,-12.4,,,,,,
n-Propanol,-12.78,,,,,,
n-Propanol,-12.25,,,,,,
n-Propanol,-12.4,,,,,,
n-Propanol,-11.92,,,,,,
n-Propanol,-12.11,,,,,,
n-Propanol,-12.46,,,,,,
n-Propanol,-12.27,,,,,,
n-Propanol,-6.69,,,,,,
n-Propanol,-12.84,,,,,,
n-Propanol,-12.13,,,,,,
n-Propanol,-12.84,,,,,,
n-Propanol,-12.91,,,,,,
n-Propanol,-12.23,,,,,,
n-Propanol,-14.68,,,,,,
n-Propanol,-12.32,,,,,,
n-Propanol,-12.29,,,,,,
n-Propanol,-12.37,,,,,,
n-Propanol,-12.67,,,,,,
n-Propanol,-11.75,,,,,,
n-Propanol,-10.76,,,,,,
n-Propanol,-12.61,,,,,,
n-Propanol,-12.52,,,,,,
n-Propanol,-12.3,,,,,,
n-Propanol,-12.57,,,,,,
n-Butanol,-12.02,,,,-274.88,361.9,108
n-Butanol,-11.91,,,,,,
n-Butanol,-11.8,,,,,,
n-Butanol,-11.66,,,,,,
n-Butanol,-11.88,,,,,,
n-Butanol,-11.93,,,,,,
n-Butanol,-11.91,,,,,,
n-Butanol,-11.61,,,,,,
n-Butanol,-12.05,,,,,,
n-Butanol,-11.91,,,,,,
n-Butanol,-11.78,,,,,,
n-Butanol,-11.55,,,,,,
n-Butanol,-13.21,,,,,,
n-Butanol,-12.07,,,,,,
n-Butanol,-11.8,,,,,,
n-Butanol,-10.83,,,,,,
n-Butanol,-11.95,,,,,,
n-Butanol,-11.78,,,,,,
n-Butanol,-11.99,,,,,,
n-Butanol,-8.47,,,,,,
n-Butanol,-12.05,,,,,,
n-Butanol,-10.6,,,,,,
n-Butanol,-12.4,,,,,,
n-Butanol,-12.26,,,,,,
n-Butanol,-11.98,,,,,,
n-Butanol,-12.21,,,,,,
n-Butanol,-12.03,,,,,,
n-Butanol,-12.17,,,,,,
n-Butanol,-11.8,,,,,,
n-Butanol,-11.75,,,,,,
n-Butanol,-11.8,,,,,,
n-Butanol,-11.88,,,,,,
n-Butanol,-11.86,,,,,,
n-Butanol,-11.79,,,,,,
n-Butanol,-11.98,,,,,,
n-Butanol,-12.35,,,,,,
n-Butanol,-11.71,,,,,,
n-Butanol,-11.99,,,,,,
n-Butanol,-11.71,,,,,,
n-Butanol,-12.2,,,,,,
n-Butanol,-11.76,,,,,,
n-Butanol,-11.78,,,,,,
n-Butanol,-12.14,,,,,,
1-Pentanol,-11.77,,,,-294.56,,131
1-Pentanol,-11.23,,,,,,
1-Pentanol,-11.16,,,,,,
1-Pentanol,-10.83,,,,,,
1-Pentanol,-12.01,,,,,,
1-Pentanol,-11.63,,,,,,
1-Pentanol,-11.59,,,,,,
1-Pentanol,-11.38,,,,,,
1-Pentanol,-10.78,,,,,,
1-Pentanol,-11.7,,,,,,
1-Pentanol,-11.09,,,,,,
1-Pentanol,-11.38,,,,,,
1-Pentanol,-11.7,,,,,,
1-Pentanol,-10.05,,,,,,
1-Pentanol,-11.24,,,,,,
1-Pentanol,-11.59,,,,,,
1-Pentanol,-11.45,,,,,,
1-Pentanol,-11.1,,,,,,
1-Pentanol,-11.58,,,,,,
1-Pentanol,-10.15,,,,,,
1-Pentanol,-11.17,,,,,,
1-Pentanol,-11.39,,,,,,
1-Pentanol,-10.98,,,,,,
1-Pentanol,-11.16,,,,,,
1-Pentanol,-13.43,,,,,,
1-Pentanol,-10.76,,,,,,
1-Pentanol,-10.81,,,,,,
n-Hexanol,-10.57,,,,-315.89,,153.7
n-Hexanol,-10.56,,,,,,
n-Hexanol,-9.47,,,,,,
n-Hexanol,-9.44,,,,,,
n-Hexanol,-11.49,,,,,,
n-Hexanol,-11.38,,,,,,
n-Hexanol,-10.09,,,,,,
n-Hexanol,-10.38,,,,,,
n-Hexanol,-10.36,,,,,,
n-Hexanol,-10.23,,,,,,
n-Hexanol,-9.77,,,,,,
n-Hexanol,-9.25,,,,,,
n-Hexanol,-11.6,,,,,,
n-Hexanol,-10.49,,,,,,
n-Hexanol,-10.89,,,,,,
n-Hexanol,-10.01,,,,,,
n-Hexanol,-10.59,,,,,,
n-Hexanol,-8.98,,,,,,
n-Hexanol,-10.58,,,,,,
n-Hexanol,-9.74,,,,,,
n-Hexanol,-10.42,,,,,,
n-Hexanol,-10.48,,,,,,
n-Hexanol,-10.39,,,,,,
n-Hexanol,-10.51,,,,,,
n-Hexanol,-10.06,,,,,,
n-Hexanol,-10.32,,,,,,
n-Heptanol,-11.27,,,,-336.49,,176.4
n-Heptanol,-11.04,,,,,,
n-Heptanol,-7.14,,,,,,
n-Heptanol,-9.09,,,,,,
n-Heptanol,-8.98,,,,,,
n-Heptanol,-10.06,,,,,,
n-Heptanol,-9.96,,,,,,
n-Heptanol,-9.59,,,,,,
n-Heptanol,-10.15,,,,,,
n-Heptanol,-9.46,,,,,,
n-Heptanol,-9.81,,,,,,
n-Heptanol,-9.72,,,,,,
n-Heptanol,-9.8,,,,,,
n-Octanol,-10.36,,,,-355.52,,199.1
n-Octanol,-10.22,,,,,,
n-Octanol,-9.06,,,,,,
n-Octanol,-9.02,,,,,,
n-Octanol,-8.79,,,,,,
n-Octanol,-9.6,,,,,,
n-Octanol,-9.48,,,,,,
n-Octanol,-8.91,,,,,,
n-Octanol,-9.17,,,,,,
n-Octanol,-9.19,,,,,,
1-Nonanol,-8.49,,,,-376.54,,221.8
1-Nonanol,-8.74,,,,,,
1-Nonanol,-8.4,,,,,,
1-Nonanol,-8.75,,,,,,
1-Nonanol,-8.06,,,,,,
1-Decanol,-8.52,,,,-396.6,,244.6
1-Decanol,-9.75,,,,,,
1-Decanol,-7.91,,,,,,
1-Undecanol,-6.48,,,,-417.1,,267.3
1-Undecanol,-15.4,,,,,,
1-Dodecanol,-5.44,,,,-436.54,,290
1-Dodecanol,-9.41,,,,,,
1-Dodecanol,-18.51,,,,,,
1-Dodecanol,-7.32,,,,,,
1-Dodecanol,-6.25,,,,,,
2-Propanol,-12.23,,,,-272.62,309.2,89.6
2-Propanol,-12.57,,,,,,
2-Propanol,-11.81,,,,,,
2-Propanol,-11.21,,,,,,
2-Propanol,-11.97,,,,,,
2-Propanol,-11.99,,,,,,
2-Propanol,-12.29,,,,,,
2-Propanol,-10.2,,,,,,
2-Propanol,-11.28,,,,,,
2-Propanol,-12.04,,,,,,
2-Propanol,-11.95,,,,,,
2-Propanol,-12.21,,,,,,
2-Propanol,-11.78,,,,,,
2-Propanol,-11.97,,,,,,
2-Propanol,-11.96,,,,,,
2-Propanol,-11.81,,,,,,
2-Propanol,-13.21,,,,,,
2-Propanol,-11.83,,,,,,
2-Propanol,-11.72,,,,,,
2-Propanol,-11.95,,,,,,
2-Propanol,-11.69,,,,,,
2-Propanol,-11.78,,,,,,
2-Propanol,-13.66,,,,,,
2-Propanol,-12.64,,,,,,
2-Propanol,-11.97,,,,,,
2-Propanol,-11.93,,,,,,
2-Butanol,-11.35,,,,-292.79,359.53,113.1
2-Butanol,-10.74,,,,,,
2-Butanol,-10.96,,,,,,
2-Butanol,-11.62,,,,,,
2-Butanol,-11.84,,,,,,
2-Butanol,-10.7,,,,,,
2-Butanol,-11.4,,,,,,
2-Butanol,-11.64,,,,,,
2-Butanol,-11.1,,,,,,
2-Butanol,-11.23,,,,,,
2-Butanol,-11.37,,,,,,
2-Butanol,-11.25,,,,,,
2-Butanol,-11.36,,,,,,
2-Butanol,-11.33,,,,,,
2-Methyl-1-propanol,-10.94,,,,-283.81,,
2-Methyl-1-propanol,-10.8,,,,,,
2-Methyl-1-propanol,-10.88,,,,,,
2-Methyl-1-propanol,-11.71,,,,,,
2-Methyl-1-propanol,-10.81,,,,,,
2-Methyl-1-propanol,-11.65,,,,,,
2-Methyl-1-propanol,-10.74,,,,,,
2-Methyl-1-propanol,-11.22,,,,,,
2-Methyl-1-propanol,-10.71,,,,,,
2-Methyl-1-propanol,-10.82,,,,,,
2-Methyl-1-propanol,-10.83,,,,,,
2-Methyl-1-propanol,-11.44,,,,,,
2-Methyl-1-propanol,-10.83,,,,,,
2-Methyl-1-propanol,-10.72,,,,,,
2-Methyl-1-propanol,-10.77,,,,,,
2-Methyl-1-propanol,-10.88,,,,,,
2-Methyl-1-propanol,-11.84,,,,,,
2-Methyl-1-propanol,-10.97,,,,,,
2-Methyl-2-propanol,-11,,,,-312.46,326.7,114
2-Methyl-2-propanol,-11.64,,,,,,
2-Methyl-2-propanol,-10.89,,,,,,
2-Methyl-2-propanol,-10.8,,,,,,
2-Methyl-2-propanol,-10.98,,,,,,
2-Methyl-2-propanol,-10.42,,,,,,
2-Methyl-2-propanol,-11.05,,,,,,
2-Methyl-2-propanol,-10.49,,,,,,
2-Methyl-2-propanol,-10.81,,,,,,
2-Methyl-2-propanol,-10.92,,,,,,
2-Methyl-2-propanol,-10.88,,,,,,
2-Methyl-2-propanol,-10.74,,,,,,
2-Methyl-2-propanol,-10.95,,,,,,
"2,2-Dimethyl-1-propanol",-8.3,,,,,,
"2,2-Dimethyl-1-propanol",-8.3,,,,,,
"2,2-Dimethyl-1-propanol",-8.46,,,,,,
2-Methyl-1-butanol,-10.91,,,,-301.42,,
2-Methyl-1-butanol,-10.82,,,,,,
2-Methyl-1-butanol,-10.55,,,,,,
2-Methyl-1-butanol,-10.92,,,,,,
2-Methyl-1-butanol,-11.1,,,,,,
2-Methyl-1-butanol,-11.08,,,,,,
2-Methyl-2-butanol,-9.78,,,,-329.33,,131.7
2-Methyl-2-butanol,-9.54,,,,,,
2-Methyl-2-butanol,-10.52,,,,,,
2-Methyl-2-butanol,-9.48,,,,,,
2-Methyl-2-butanol,-9.66,,,,,,
2-Methyl-2-butanol,-10.45,,,,,,
2-Methyl-2-butanol,-10.45,,,,,,
2-Methyl-2-butanol,-9.82,,,,,,
2-Methyl-2-butanol,-8.9,,,,,,
2-Methyl-2-butanol,-9.64,,,,,,
2-Methyl-2-butanol,-10.6,,,,,,
2-Methyl-2-butanol,-10.59,,,,,,
2-Pentanol,-10.69,,,,-310.97,,
2-Pentanol,-10.53,,,,,,
2-Pentanol,-10.39,,,,,,
2-Pentanol,-10.39,,,,,,
2-Pentanol,-10.46,,,,,,
2-Pentanol,-10.56,,,,,,
2-Pentanol,-10.39,,,,,,
2-Pentanol,-10.57,,,,,,
2-Pentanol,-10.42,,,,,,
3-Methyl-1-butanol,-11.13,,,,-300.77,,
3-Methyl-1-butanol,-10.17,,,,,,
3-Methyl-1-butanol,-11.53,,,,,,
3-Methyl-1-butanol,-10.44,,,,,,
3-Methyl-1-butanol,-10.79,,,,,,
3-Methyl-1-butanol,-10.96,,,,,,
3-Methyl-1-butanol,-10.7,,,,,,
3-Methyl-1-butanol,-10.54,,,,,,
3-Pentanol,-9.75,,,,-314.87,,
3-Pentanol,-9.99,,,,,,
3-Pentanol,-10.09,,,,,,
3-Pentanol,-12.14,,,,,,
3-Pentanol,-10.13,,,,,,
3-Pentanol,-9.77,,,,,,
3-Pentanol,-9.71,,,,,,
3-Pentanol,-9.72,,,,,,
"2,3-Dimethyl-2-butanol",-9.13,,,,-354.99,,
"2,3-Dimethyl-2-butanol",-9.3,,,,,,
2-Ethyl-1-butanol,-9.65,,,,,,
2-Ethyl-1-butanol,-10.19,,,,,,
2-Ethyl-1-butanol,-8.55,,,,,,
2-Ethyl-1-butanol,-9.22,,,,,,
2-Hexanol,-9.58,,,,-333.53,,
2-Hexanol,-9.61,,,,,,
2-Hexanol,-10.02,,,,,,
2-Hexanol,-9.63,,,,,,
2-Hexanol,-9.98,,,,,,
2-Methyl-1-pentanol,-9.65,,,,,,
2-Methyl-1-pentanol,-9.79,,,,,,
2-Methyl-1-pentanol,-9.11,,,,,,
3-Hexanol,-9.04,,,,-334.8,,
3-Hexanol,-9.06,,,,,,
3-Hexanol,-8.99,,,,,,
3-Hexanol,-9.4,,,,,,
3-Methyl-2-pentanol,-9.32,,,,,,
3-Methyl-2-pentanol,-9.69,,,,,,
3-Methyl-3-pentanol,-9.6,,,,,,
3-Methyl-3-pentanol,-9.2,,,,,,
3-Methyl-3-pentanol,-9.24,,,,,,
3-Methyl-3-pentanol,-9.49,,,,,,
4-Methyl-2-pentanol,-8.85,,,,-338.6,,
4-Methyl-2-pentanol,-8.68,,,,,,
4-Methyl-2-pentanol,-8.71,,,,,,
4-Methyl-2-pentanol,-9.1,,,,,,
4-Methyl-2-pentanol,-9.06,,,,,,
4-Methyl-2-pentanol,-9.26,,,,,,
3-Heptanol,-8.46,,,,,,
3-Heptanol,-8.59,,,,,,
3-Heptanol,-8.41,,,,,,
2-Heptanol,-8.81,,,,,,
2-Heptanol,-8.68,,,,,,
3-Ethyl-3-Pentanol,-9.47,,,,,,
3-Ethyl-3-Pentanol,-9.55,,,,,,
4-Heptanol,-8.48,,,,,,
4-Heptanol,-8.91,,,,,,
4-Heptanol,-8.8,,,,,,
2-Ethyl-1-Hexanol,-8.04,,,,-365.4,,
2-Ethyl-1-Hexanol,-8.5,,,,,,
2-Ethyl-1-Hexanol,-9.08,,,,,,
2-Ethyl-1-Hexanol,-7,,,,,,
2-Octanol,-8.4,,,,,,
2-Octanol,-11.63,,,,,,
2-Octanol,-8.21,,,,,,
2-Octanol,-8.88,,,,,,
3-Octanol,-8.04,,,,,,
2-Propen-1-ol,-12.6,,,,-127.6,307.68,76
2-Propen-1-ol,-12.08,,,,,,
2-Propen-1-ol,-11.93,,,,,,
2-Propen-1-ol,-12.72,,,,,,
4-Penten-1-ol,-14.29,,,,,,
Cyclopentanol,-14.7,,,,-242.47,345.57,113
Cyclopentanol,-15.18,,,,,,
Cyclopentanol,-14.68,,,,,,
Cyclopentanol,-15.06,,,,,,
Cyclohexanol,-15.2,,,,-286.18,353.06,132.7
Cyclohexanol,-13.42,,,,,,
Cyclohexanol,-14.89,,,,,,
Cyclohexanol,-16.85,,,,,,
Cyclohexanol,-15.71,,,,,,
Cyclohexanol,-15.1,,,,,,
Cyclohexanol,-15.16,,,,,,
Cyclohexanol,-15.58,,,,,,
Cyclohexanol,-15.62,,,,,,
Cyclohexanol,-15.58,,,,,,
Cycloheptanol,-15.65,,,,,,
Cycloheptanol,-15.95,,,,,,
Cycloheptanol,-15.08,,,,,,
Cyclohexanemethanol,-14.01,,,,,,
Cyclooctanol,-15.8,,,,,,
Acetone,-8.06,,,,-216.83,295.46,74.5
Acetone,-8.51,,,,,,
Acetone,-7.88,,,,,,
Acetone,-5.61,,,,,,
Acetone,-8.13,,,,,,
Acetone,-8.26,,,,,,
Acetone,-8.17,,,,,,
Acetone,-7.88,,,,,,
Acetone,-8.14,,,,,,
Acetone,-6.96,,,,,,
Acetone,-8.13,,,,,,
Acetone,-8.08,,,,,,
Acetone,-8,,,,,,
Acetone,-8.51,,,,,,
Acetone,-8.79,,,,,,
Acetone,-7.73,,,,,,
Acetone,-8.08,,,,,,
Acetone,-8.04,,,,,,
Acetone,-8.03,,,,,,
Acetone,-8.07,,,,,,
Acetone,-8.02,,,,,,
Acetone,-8.17,,,,,,
Acetone,-7.98,,,,,,
Acetone,-7.83,,,,,,
Acetone,-7.92,,,,,,
Acetone,-8.36,,,,,,
Acetone,-7.99,,,,,,
Acetone,-7.35,,,,,,
Acetone,-7.82,,,,,,
Acetone,-7.95,,,,,,
Acetone,-7.99,,,,,,
Acetone,-7.68,,,,,,
Acetone,-7.72,,,,,,
Acetone,-7.54,,,,,,
Acetone,-7.76,,,,,,
Acetone,-8.01,,,,,,
Acetone,-8.92,,,,,,
Acetone,-8.22,,,,,,
Acetone,-8.29,,,,,,
Acetone,-8.45,,,,,,
Acetone,-8.43,,,,,,
2-Butanone,-5.99,,,,-238.38,339.47,103.3
2-Butanone,-7.02,,,,,,
2-Butanone,-6.86,,,,,,
2-Butanone,-8.75,,,,,,
2-Butanone,-6.8,,,,,,
2-Butanone,-7.09,,,,,,
2-Butanone,-7.2,,,,,,
2-Butanone,-8.04,,,,,,
2-Butanone,-7.12,,,,,,
2-Butanone,-6.91,,,,,,
2-Butanone,-7.12,,,,,,
2-Butanone,-6.68,,,,,,
2-Butanone,-7.01,,,,,,
2-Butanone,-7.4,,,,,,
2-Butanone,-6.02,,,,,,
2-Butanone,-5.06,,,,,,
2-Butanone,-7.11,,,,,,
2-Butanone,-6.76,,,,,,
2-Butanone,-6.97,,,,,,
2-Butanone,-7.08,,,,,,
2-Butanone,-6.97,,,,,,
2-Butanone,-6.87,,,,,,
2-Butanone,-6.99,,,,,,
2-Butanone,-7.4,,,,,,
2-Butanone,-6.31,,,,,,
2-Butanone,-7.28,,,,,,
2-Butanone,-7.14,,,,,,
2-Butanone,-6.02,,,,,,
2-Butanone,-7.3,,,,,,
2-Butanone,-7.15,,,,,,
2-Butanone,-7.58,,,,,,
2-Pentanone,-5.99,,,,-258.84,378.7,125.9
2-Pentanone,-6.12,,,,,,
2-Pentanone,-6.34,,,,,,
2-Pentanone,-6.31,,,,,,
2-Pentanone,-6.19,,,,,,
2-Pentanone,-6.09,,,,,,
2-Pentanone,-6.01,,,,,,
2-Pentanone,-5.39,,,,,,
2-Pentanone,-5.98,,,,,,
2-Pentanone,-6.14,,,,,,
2-Pentanone,-6.21,,,,,,
2-Pentanone,-6.52,,,,,,
2-Pentanone,-6.42,,,,,,
2-Pentanone,-7.08,,,,,,
2-Pentanone,-6.43,,,,,,
2-Pentanone,-6.8,,,,,,
2-Pentanone,-5.97,,,,,,
3-Methyl-2-butanone,-4.34,,,,-262.53,,
3-Methyl-2-butanone,-5.58,,,,,,
3-Methyl-2-butanone,-5.41,,,,,,
3-Methyl-2-butanone,-5.6,,,,,,
3-Methyl-2-butanone,-5.28,,,,,,
3-Pentanone,-5.94,,,,-257.82,370.1,129.9
3-Pentanone,-5.87,,,,,,
3-Pentanone,-5.74,,,,,,
3-Pentanone,-5.83,,,,,,
3-Pentanone,-5.34,,,,,,
3-Pentanone,-5.53,,,,,,
3-Pentanone,-5.68,,,,,,
3-Pentanone,-5.81,,,,,,
3-Pentanone,-5.73,,,,,,
3-Pentanone,-6.7,,,,,,
3-Pentanone,-5.77,,,,,,
2-Hexanone,-4.96,,,,-278.85,,148.8
2-Hexanone,-5.77,,,,,,
2-Hexanone,-5.75,,,,,,
2-Hexanone,-5.67,,,,,,
2-Hexanone,-5.94,,,,,,
2-Hexanone,-5.48,,,,,,
2-Hexanone,-5.64,,,,,,
2-Hexanone,-5.87,,,,,,
2-Hexanone,-5.48,,,,,,
2-Hexanone,-5.86,,,,,,
2-Methyl-3-pentanone,-4.05,,,,-286.04,,
"3,3-Dimethyl-2-butanone",-3.68,,,,-290.6,,
"3,3-Dimethyl-2-butanone",-3.62,,,,,,
"3,3-Dimethyl-2-butanone",-3.86,,,,,,
3-Hexanone,0.63,,,,-277.68,,152.7
3-Hexanone,-4.63,,,,,,
3-Hexanone,-4.96,,,,,,
3-Hexanone,-5.15,,,,,,
3-Methyl-2-pentanone,-5.12,,,,,,
4-Methyl-2-pentanone,-4.98,,,,,,
4-Methyl-2-pentanone,-4.67,,,,,,
4-Methyl-2-pentanone,-4.51,,,,,,
4-Methyl-2-pentanone,-5.62,,,,,,
4-Methyl-2-pentanone,-5.63,,,,,,
