00,無し
01,北海道
02,青森
03,岩手
04,宮城
05,秋田
06,山形
07,福島
08,茨城
09,栃木
0A,群馬
0B,埼玉
0C,千葉
0D,東京
0E,神奈川
0F,新潟
10,富山
11,石川
12,福井
13,山梨
14,長野
15,岐阜
16,静岡
17,愛知
18,三重
19,滋賀
1A,京都
1B,大阪
1C,兵庫
1D,奈良
1E,和歌山
1F,鳥取
20,島根
21,岡山
22,広島
23,山口
24,徳島
25,香川
26,愛媛
27,高知
28,福岡
29,佐賀
2A,長崎
2B,熊本
2C,大分
2D,宮崎
2E,鹿児島
2F,沖縄
30,カナダ（归化）
31,ブラジル（归化）
32,日本
33,ウズベキスタン
34,タジキスタン
35,トルクメニスタン
36,中国
37,韓国
38,北朝鮮
39,香港
3A,タイ
3B,マレーシア
3C,インドネシア
3D,インド
3E,フィリピン
3F,イラン
40,イラク
41,サウジアラビア
42,クウェート
43,アラブ首長国連邦
44,カタール
45,オマーン
46,バーレーン
47,シリア
48,レバノン
49,オーストラリア
4A,ニュージーランド
4B,フィジー
4C,タヒチ
4D,トンガ
4E,カザフスタン
4F,ポーランド
50,チェコ
51,セルビオ・モンテネグロ
52,ウクライナ
53,クロアチア
54,ロシア
55,スロバキア
56,スロベニア
57,オーストリア
58,ギリシャ
59,イスラエル
5A,トルコ
5B,ブルガリア
5C,ルーマニア
5D,ハンガリー
5E,アルバニア
5F,アルメニア
60,ボスニア・ヘルツェゴビナ
61,ベラルーシ
62,リトアニア
63,エストニア
64,マケドニア
65,ラトビア
66,モリドバ
67,グルジア
68,アゼルバイジャン
69,キプロス
6A,リヒテンシュタイン
6B,アイルランド
6C,北アイルランド
6D,イングランド
6E,スコットランド
6F,ウェールズ
70,フランス
71,スペイン
72,ポルトガル
73,ベルギー
74,オランダ
75,イタリア
76,ドイツ
77,ノルウェー
78,スウェーデン
79,フィンランド
7A,デンマーク
7B,スイス
7C,アイスランド
7D,ルクセンブルク
7E,フェロー諸島
7F,マルタ
80,ナイジェリア
81,チュニジア
82,モロッコ
83,カメルーン
84,南アフリカ
85,ガーナ
86,リベリア
87,ザンビア
88,エジプト
89,マリ
8A,ギニア
8B,コートジボアール
8C,アルジェリア
8D,ベナン
8E,シエラ・レオネ
8F,セネガル
90,ガンビア
91,トーゴ
92,ナミビア
93,コンゴ民主
94,プルキナファソ
95,プルンジ
96,アンゴラ
97,モザンビーク
98,ガボン
99,ジンバブエ
9A,カーボベルデ
9B,コモロ
9C,リビア
9D,ブラジル
9E,アルゼンチン
9F,パラグアイ
A0,ウルグアイ
A1,チリ
A2,ボリビア
A3,コロンビア
A4,ペルー
A5,エクアドル
A6,ベネズエラ
A7,ドミニカ
A8,スリナム
A9,グレナダ
AA,アメリカ
AB,カナダ
AC,メキシコ
AD,ジャマイカ
AE,コスタリカ
AF,トリニータードトバコ
B0,パナマ
B1,ホンジュラス
B2,エルサルバトル
B3,グァテマラ
B4,バミューダ諸島